Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored,GoldFound
5,0.153,2,17,-2018,3,0,3,1,5,1
5,0.153,3,19,-3025,4,1,3,1,5,1
5,0.153,4,33,-5047,6,3,3,2,6,1
5,0.153,5,19,-3021,4,0,4,1,5,1
5,0.153,6,21,-4026,5,2,3,1,5,1
5,0.153,7,26,-4031,5,3,2,2,6,1
5,0.153,8,35,-5053,6,2,4,2,6,1
5,0.153,9,33,-6044,7,3,4,2,6,1
5,0.23,0,3,-1004,1,1,0,0,0,0
5,0.23,1,3,-1003,1,1,0,0,0,0
5,0.23,2,3,-1004,1,1,0,0,0,0
5,0.23,3,3,-1004,1,1,0,0,0,0
5,0.23,4,3,-1003,1,1,0,0,0,0
5,0.23,5,3,-1004,1,1,0,0,0,0
5,0.23,6,3,-1003,1,1,0,0,0,0
5,0.23,7,3,-1003,1,1,0,0,0,0
5,0.23,8,3,-1003,1,1,0,0,0,0
5,0.23,9,3,-1003,1,1,0,0,0,0
5,0.23,0,14,-2020,3,1,2,1,1,1
5,0.23,1,15,-2019,3,1,2,1,1,1
5,0.23,2,14,-2020,3,1,2,1,1,1
5,0.23,3,14,-2018,3,1,2,1,1,1
5,0.23,4,14,-2018,3,1,2,1,1,1
5,0.23,5,15,-2021,3,1,2,1,1,1
5,0.23,6,15,-2019,3,1,2,1,1,1
5,0.23,7,15,-2019,3,1,2,1,1,1
5,0.23,8,15,-2021,3,1,2,1,1,1
5,0.23,9,15,-2019,3,1,2,1,1,1
5,0.23,0,3,-1003,1,1,0,0,0,0
5,0.23,1,3,-1003,1,1,0,0,0,0
5,0.23,2,3,-1003,1,1,0,0,0,0
5,0.23,3,3,-1003,1,1,0,0,0,0
5,0.23,4,3,-1003,1,1,0,0,0,0
5,0.23,5,3,-1003,1,1,0,0,0,0
5,0.23,6,3,-1003,1,1,0,0,0,0
5,0.23,7,3,-1004,1,1,0,0,0,0
5,0.23,8,3,-1004,1,1,0,0,0,0
5,0.23,9,3,-1004,1,1,0,0,0,0
5,0.23,0,4,-2004,2,2,0,0,0,0
5,0.23,1,4,-2003,2,2,0,0,0,0
5,0.23,2,4,-2003,2,2,0,0,0,0
5,0.23,3,4,-2004,2,2,0,0,0,0
5,0.23,4,4,-2003,2,2,0,0,0,0
5,0.23,5,4,-2004,2,2,0,0,0,0
5,0.23,6,4,-2004,2,2,0,0,0,0
5,0.23,7,4,-2003,2,2,0,0,0,0
5,0.23,8,4,-2004,2,2,0,0,0,0
5,0.23,9,4,-2004,2,2,0,0,0,0
